0,1,2,3,4,5,time,classifier,pseudotime
0.35031003,0.0018884417,0.6037242,0.0013701839,0.040952913,0.001754308,1,c1,0.33379212
0.4004237,0.0029142555,0.51393455,0.0039923056,0.07073891,0.007996225,3,c1,0.36385068
0.46649882,0.010179251,0.38469768,0.016238725,0.088792704,0.033592857,5,c1,0.38257623
0.43396375,0.017046316,0.38242742,0.02587756,0.086667605,0.054017253,7,c1,0.39932215
0.32381007,0.027316177,0.4885085,0.038591027,0.074454464,0.047319774,9,c1,0.40907484
0.28796715,0.050721977,0.45824254,0.06943886,0.06587231,0.067757145,11,c1,0.4179559
0.27839163,0.084599815,0.37268987,0.11290194,0.06066702,0.090749785,13,c1,0.42743686
0.26901972,0.11754436,0.29983804,0.1533999,0.054233477,0.10596453,15,c1,0.43130544
0.24916421,0.13015328,0.30285162,0.16783859,0.050653283,0.09933901,17,c1,0.44602007
0.23649137,0.15013893,0.27948263,0.18968178,0.04701077,0.09719456,19,c1,0.45465595
0.24243335,0.16082175,0.24077599,0.20272008,0.045784526,0.10746425,21,c1,0.47799823
0.22460665,0.16577144,0.2604463,0.20816208,0.043762874,0.097250625,23,c1,0.49376398
0.21281996,0.17025636,0.26869938,0.21318088,0.041889463,0.09315389,25,c1,0.50393045
0.22279806,0.19401513,0.1986912,0.23994948,0.03893993,0.10560621,27,c1,0.5226173
0.23020484,0.19381692,0.17857026,0.23982844,0.038391586,0.119187966,29,c1,0.5275566
0.2247345,0.19353874,0.18555427,0.23812494,0.037488796,0.120558776,31,c1,0.5362405
0.22582316,0.19998626,0.16607451,0.2449256,0.03657385,0.1266167,33,c1,0.54746187
0.22957975,0.21251892,0.13792814,0.2580425,0.03611948,0.12581122,35,c1,0.56884885
0.24185109,0.20768374,0.11711018,0.2560888,0.037749294,0.13951688,37,c1,0.5749665
0.250571,0.19347702,0.09906018,0.2426288,0.040745605,0.17351742,39,c1,0.58516747
0.2511212,0.20432787,0.07067417,0.25751024,0.041626293,0.17474027,41,c1,0.5957076
0.25538743,0.20493974,0.061794266,0.2550023,0.041244145,0.18163209,43,c1,0.6013746
0.2612648,0.20020679,0.05513965,0.2462398,0.04082129,0.19632764,45,c1,0.6182356
0.26008883,0.20266366,0.06478326,0.24488656,0.03956332,0.18801433,47,c1,0.6256511
0.25527155,0.20940237,0.0708609,0.24943271,0.038015466,0.17701699,49,c1,0.62892306
0.25182053,0.21328273,0.075359866,0.25135314,0.03773227,0.17045145,51,c1,0.63572353
0.24871707,0.21701004,0.07871318,0.2530608,0.037545484,0.16495341,53,c1,0.63723415
0.2486299,0.21771431,0.08149226,0.252446,0.037261736,0.1624558,55,c1,0.64094335
0.25131512,0.2127722,0.08042162,0.24498637,0.037489314,0.17301539,57,c1,0.64444077
0.24908072,0.21552216,0.0821307,0.2462635,0.037247807,0.16975515,59,c1,0.6473318
0.25038123,0.21463762,0.08305797,0.24419412,0.037376057,0.170353,61,c1,0.64887655
0.25938454,0.21022926,0.073940925,0.23808463,0.039354667,0.17900592,63,c1,0.650911
0.26352602,0.20752053,0.07166405,0.2335132,0.040595125,0.18318106,65,c1,0.6527983
0.27013725,0.20123567,0.07252273,0.22508632,0.043306164,0.18771188,67,c1,0.6544877
0.28011662,0.1922316,0.06787122,0.21483426,0.04633352,0.19861284,69,c1,0.6558261
0.27978164,0.19232771,0.08410714,0.21572146,0.04863215,0.1794299,71,c1,0.6581294
0.28924233,0.18555503,0.083157666,0.20764346,0.051309716,0.18309182,73,c1,0.66010594
0.29861787,0.18115905,0.069814675,0.2004373,0.053531967,0.19643918,75,c1,0.6610741
0.30446085,0.16907458,0.067183465,0.186359,0.05579945,0.21712263,77,c1,0.66455066
0.28447527,0.1856161,0.105247974,0.20050842,0.052449662,0.17170256,79,c1,0.6687522
0.28858677,0.1833812,0.10259239,0.19774573,0.051515102,0.1761788,81,c1,0.6723641
0.2965427,0.20553803,0.05297789,0.21531451,0.05842405,0.17120287,83,c1,0.6725976
0.27671584,0.19097985,0.03999793,0.21076545,0.06264029,0.21890065,85,c1,0.6739024
0.1910973,0.17787126,0.022562651,0.21743836,0.048864316,0.3421661,87,c1,0.67498314
0.18881473,0.21648766,0.01532,0.33091298,0.088877864,0.15958677,89,c1,0.67604
0.17251126,0.22407848,0.011618295,0.3691249,0.11377779,0.10888937,91,c1,0.67798924
0.116061255,0.23125947,0.009497029,0.48389554,0.08529174,0.07399492,93,c1,0.6786741
0.1065443,0.19315343,0.0049029477,0.48346055,0.14352845,0.06841031,95,c1,0.6795744
0.10165644,0.18311147,0.003726269,0.4797349,0.16357386,0.06819702,97,c1,0.6799602
0.073427446,0.14577255,0.0025517156,0.48977497,0.25213253,0.036340836,99,c1,0.68174076
0.0461283,0.08929803,0.0019090404,0.3827422,0.46629983,0.013622587,101,c1,0.6828178
0.03171075,0.054847293,0.0014011855,0.25780833,0.6473316,0.0069008246,103,c1,0.6845103
0.026498895,0.04356241,0.00097446644,0.20625414,0.71827924,0.004430882,105,c1,0.68602294
