time,state,smoothing,residuals,variance,ac1,pseudotime_index,pseudotime
0,0.9689494,0.8450063167946685,0.12394308320533143,,,0,0.3250713
1,0.9120578,0.7540824946147714,0.15797530538522864,,,1,0.33379212
2,0.51189506,0.6641346019918412,-0.1522395419918412,,,2,0.35966438
3,0.58157766,0.5750909103171674,0.006486749682832582,,,3,0.36385068
4,0.63397527,0.4869173578438384,0.1470579121561616,,,4,0.3746114
5,0.34413722,0.3995624844645281,-0.05542526446452806,,,5,0.38257623
6,0.2107816,0.31287632355385486,-0.10209472355385485,,,6,0.38689575
7,0.14008364,0.2266705245074343,-0.08658688450743429,,,7,0.39932215
8,0.050129022,0.14076161244047622,-0.09063259044047622,,,8,0.40493307
9,-0.13072732,0.055066762899552014,-0.18579408289955202,,,9,0.40907484
10,-0.08216636,-0.029478305435175423,-0.052688054564824574,,,10,0.41316986
11,-0.13601972,-0.1059485935752637,-0.030071126424736305,,,11,0.4179559
12,-0.033798106,-0.1822121625448807,0.1484140565448807,,,12,0.4212921
13,-0.30475834,-0.25960363839356854,-0.04515470160643148,,,13,0.42743686
14,-0.26566678,-0.3386247494971136,0.07295796949711358,,,14,0.42836356
15,-0.36182615,-0.4200341234283981,0.05820797342839806,,,15,0.43130544
16,-0.4118374,-0.5046236316212169,0.09278623162121691,,,16,0.4334783
17,-0.45935416,-0.5923012407927062,0.13294708079270617,,,17,0.44602007
18,-0.6491607,-0.6833110459904501,0.03415034599045008,,,18,0.44781584
19,-0.66210514,-0.777641922537018,0.11553678253701805,,,19,0.45465595
20,-0.83201456,-0.8741440377042435,0.04212947770424358,,,20,0.4676976
21,-1.1142855,-0.971433088616828,-0.14285241138317206,,,21,0.47799823
22,-1.1125737,-1.0686775101273007,-0.043896189872699276,,,22,0.47922197
23,-1.2964147,-1.1656092758416363,-0.1308054241583636,,,23,0.49376398
24,-1.3175337,-1.2625662158499613,-0.054967484150038715,,,24,0.49827123
25,-1.3663118,-1.3587543478879893,-0.007557452112010754,,,25,0.50393045
26,-1.3701504,-1.4537184811323067,0.08356808113230674,,,26,0.5204292
27,-1.7008911,-1.5471576665072904,-0.15373343349270963,0.011131859659034314,0.21117347383322455,27,0.5226173
28,-1.7015133,-1.6383558389107982,-0.06315746108920184,0.010605757034889451,0.16631097934631,28,0.5269752
29,-1.5946853,-1.7271099575396167,0.13242465753961663,0.01030943619050319,0.2395682078563819,29,0.5275566
30,-1.7003706,-1.814020396998193,0.11364979699819289,0.010068720810050514,0.30323855700129076,30,0.5311333
31,-1.8905109,-1.89965827758037,0.009147377580370097,0.010070710281446614,0.30875649207367883,31,0.5362405
32,-1.969418,-1.9845930040289557,0.015175004028955774,0.009233483450945058,0.3553001107673696,32,0.5437371
33,-2.1659985,-2.0689874894598157,-0.09701101054018446,0.00944460180009364,0.33002163146011965,33,0.54746187
34,-2.1085076,-2.1528652725078206,0.044357672507820745,0.009194456180436674,0.2827711180710567,34,0.5632145
35,-2.332898,-2.2363668378937427,-0.09653116210625745,0.009259415587882184,0.23480900849034342,35,0.56884885
36,-2.478761,-2.32029150137966,-0.15846949862033988,0.009861353420301385,0.23250167496909405,36,0.5726982
37,-2.2916274,-2.4055782860323,0.11395088603229997,0.009077543913230198,0.11474362368166174,37,0.5749665
38,-2.4640095,-2.49234988885262,0.028340388852619913,0.008967386060480661,0.1132594077499848,38,0.5798603
39,-2.755675,-2.5792937129921967,-0.17638128700780342,0.010140466531599205,0.11857373141242675,39,0.58516747
40,-2.5044289,-2.6653331985550226,0.16090429855502242,0.010281129971214694,0.02715009188699254,40,0.5877568
41,-2.7074635,-2.7500567078518565,0.04259320785185672,0.010244115355076956,0.060243827347900736,41,0.5957076
42,-2.8277364,-2.833681699109229,0.00594529910922903,0.010072029711197947,0.047251358858347206,42,0.59877026
43,-2.808591,-2.916347562795028,0.1077565627950281,0.010360181953031507,0.029869793632590718,43,0.6013746
44,-2.9862876,-2.997906828172526,0.011619228172526253,0.010069814599174356,-0.010590270979182814,44,0.6078696
45,-3.1444416,-3.0778829805775865,-0.06655861942241348,0.009562944518782647,-0.03376518783643639,45,0.6182356
46,-3.2729523,-3.1559790906691467,-0.11697320933085331,0.009944066108396576,-0.026806292491233022,46,0.6228127
47,-3.3357987,-3.2318527052424115,-0.10394599475758826,0.009622501578155787,-0.02006628169009716,47,0.6256511
48,-3.3081129,-3.3053212531949803,-0.002791646805019532,0.009494812818976075,0.004386423951706608,48,0.6280718
49,-3.4799953,-3.3762999448778763,-0.1036953551221238,0.009191806874535406,-0.015136384976590245,49,0.62892306
50,-3.4514518,-3.444154564666691,-0.007297235333309171,0.00916973473610273,-0.03151500078349878,50,0.6337474
51,-3.5619926,-3.507515507050583,-0.05447709294941694,0.008733234496501294,-0.054760243248076226,51,0.63572353
52,-3.6117501,-3.5658891882336223,-0.04586091176637774,0.008708612171450511,-0.04779022569436122,52,0.6360798
53,-3.622603,-3.619597919717293,-0.003005080282706629,0.0087114406307606,-0.05293905436169293,53,0.63723415
54,-3.6412468,-3.669226142382836,0.02797934238283606,0.008421744648802163,0.010222427681766977,54,0.63825583
55,-3.6402802,-3.71576381627614,0.07548361627614009,0.007952358649769715,-0.009719204067045954,55,0.64094335
56,-3.8108187,-3.7602479322231694,-0.05057076777683056,0.007906018962739738,0.011245507225847304,56,0.64379734
57,-3.958634,-3.8035544747094496,-0.15507952529055036,0.007890179249853132,-0.05352111961842543,57,0.64444077
58,-3.8479736,-3.8459831054351765,-0.001990494564823475,0.007246877785255474,-0.0887301123951814,58,0.6458339
59,-3.9014497,-3.887274872016523,-0.014174827983477023,0.007213642852292195,-0.0944357859639216,59,0.6473318
60,-3.918411,-3.9274017219020023,0.008990721902002452,0.007197902046158731,-0.0794614547187068,60,0.6486608
61,-3.9023714,-3.966040309095393,0.06366890909539302,0.007231807683557291,-0.04125053850074581,61,0.64887655
62,-4.0732074,-4.003253830358535,-0.06995356964146549,0.007181902166287383,-0.037649573367892014,62,0.65048075
63,-4.044021,-4.03956689214477,-0.004454107855229594,0.006967711331813243,-0.10645842047666404,63,0.650911
64,-4.052054,-4.075522497178436,0.023468497178435577,0.0062493275889056845,-0.0009988856997117347,64,0.65253913
65,-4.1060343,-4.111515318730486,0.00548101873048612,0.005666003510939661,-0.033105808735962604,65,0.6527983
66,-4.1919994,-4.148431093308444,-0.0435683066915562,0.005620776720831126,0.011181457035919445,66,0.6537433
67,-4.2187166,-4.187302931330477,-0.031413668669523,0.004664018874115644,0.2804579424439492,67,0.6544877
68,-4.143022,-4.228168333455442,0.08514633345544187,0.003897519114969114,0.18610262925815724,68,0.6546019
69,-4.2487273,-4.2706424120099165,0.021915112009916804,0.0038247008611177755,0.20429521968053968,69,0.6558261
70,-4.232095,-4.31454175428608,0.08244675428607984,0.004156124956777381,0.21930528030530716,70,0.6563691
71,-4.3013854,-4.359115282229633,0.0577298822296326,0.0037983047713698124,0.25923285132251495,71,0.6581294
72,-4.4425282,-4.403579711702876,-0.03894848829712405,0.003791006536859731,0.25260643333867516,72,0.6587085
73,-4.49783,-4.447881632784889,-0.04994836721511131,0.0037392882657018723,0.221256283913518,73,0.66010594
