pseudotime,pseudotime_index,cluster,pca_comp,value
0.7301822,1058,6,0,-6.5383554
0.7311975,1059,6,0,-6.53846
0.73254657,1060,3,0,-4.73202
0.7331196,1061,4,0,-5.974309
0.73347425,1062,4,0,-5.9630117
0.73363,1063,3,0,-4.970629
0.73382705,1064,3,0,-5.0211334
0.7343445,1065,3,0,-4.984091
0.73466706,1066,3,0,-5.0005727
0.7346688,1067,4,0,-5.91043
0.73567986,1068,4,0,-6.1218505
0.73582256,1069,4,0,-6.049255
0.73595923,1070,4,0,-5.1358986
0.73689914,1071,4,0,-6.1711035
0.7372012,1072,4,0,-5.9869776
0.737553,1073,3,0,-4.8908906
0.73802507,1074,4,0,-6.0370946
0.7380548,1075,3,0,-4.58683
0.73810154,1076,4,0,-6.4887567
0.7382079,1077,4,0,-6.3196163
0.7382692,1078,3,0,-4.727232
0.7383679,1079,3,0,-4.88867
0.73891485,1080,4,0,-6.054213
0.7393409,1081,4,0,-5.72058
0.7394677,1082,4,0,-6.047526
0.7399157,1083,3,0,-4.847963
0.7401715,1084,4,0,-5.826146
0.74063605,1085,3,0,-4.5082827
0.7415658,1086,3,0,-4.829413
0.7424526,1087,3,0,-4.802288
0.7425914,1088,3,0,-4.8352404
0.74262494,1089,4,0,-6.4534397
0.742658,1090,3,0,-4.8062267
0.74335545,1091,3,0,-4.78548
0.743605,1092,4,0,-6.3564234
0.74398553,1093,3,0,-4.6664968
0.7441948,1094,4,0,-6.3936014
0.7445003,1095,4,0,-6.2961493
0.7447495,1096,4,0,-5.826191
0.7448256,1097,3,0,-4.807624
0.745049,1098,3,0,-4.3449855
0.74560887,1099,6,0,-7.0277414
0.74600106,1100,3,0,-4.625193
0.7460188,1101,3,0,-4.4338484
0.74632025,1102,3,0,-4.32438
0.7465884,1103,3,0,-4.8869376
0.7466667,1104,6,0,-6.99682
0.7467122,1105,3,0,-4.3148355
0.74674034,1106,4,0,-6.0371366
0.7467579,1107,4,0,-5.5399804
0.7468763,1108,3,0,-4.4033737
0.74768656,1109,4,0,-6.424282
0.7478945,1110,4,0,-6.4199004
0.7482517,1111,3,0,-4.857916
0.74858576,1112,3,0,-4.6982164
0.74882185,1113,6,0,-7.037234
0.7490089,1114,3,0,-4.6318297
0.749391,1115,3,0,-4.3652663
0.7500621,1116,3,0,-4.7063723
0.7500948,1117,3,0,-4.718477
0.750111,1118,3,0,-4.5984116
0.7509531,1119,4,0,-6.3183317
0.75101787,1120,3,0,-4.3346505
0.75107276,1121,3,0,-4.6328053
0.75180364,1122,6,0,-7.0118365
0.75275326,1123,4,0,-5.621987
0.7530635,1124,3,0,-4.5420313
0.7536863,1125,4,0,-6.1828413
0.75407106,1126,4,0,-6.2130475
0.75415844,1127,4,0,-5.3558435
0.7541755,1128,6,0,-7.03143
0.7549756,1129,4,0,-5.599587
0.7550785,1130,3,0,-4.8806467
0.75515336,1131,4,0,-5.9514604
0.75529027,1132,4,0,-5.370454
0.75529563,1133,3,0,-4.51281
0.7555177,1134,4,0,-6.233711
0.7555643,1135,4,0,-6.380334
0.7557162,1136,3,0,-4.263226
0.75616735,1137,6,0,-7.057485
0.7563325,1138,3,0,-4.453276
0.7567314,1139,4,0,-6.1913643
0.7574017,1140,4,0,-5.556494
0.75765014,1141,4,0,-5.2496405
0.75769424,1142,4,0,-5.635514
0.75864804,1143,4,0,-6.1763263
0.7594416,1144,3,0,-4.514055
0.7603065,1145,3,0,-4.4481583
0.7605612,1146,4,0,-5.4438853
0.7607028,1147,3,0,-4.266998
0.76083523,1148,4,0,-5.699042
0.7610064,1149,3,0,-3.9144642
0.7610731,1150,4,0,-5.732258
0.7611102,1151,3,0,-4.081677
0.76173514,1152,4,0,-5.2436223
0.7617677,1153,4,0,-5.92484
0.76183146,1154,3,0,-4.188309
0.7618864,1155,3,0,-3.4211354
0.7620235,1156,4,0,-6.0272713
0.76208,1157,4,0,-5.7276106
