k,variable,value
0.36372274454890974,0_real,0.43141998781953944
0.3635727145429086,0_real,0.43116072663831073
0.3634226845369074,0_real,0.43090163429695694
0.3632726545309062,0_real,0.4306427104733398
0.36312262452490496,0_real,0.43038395484623637
0.36297259451890374,0_real,0.43012536709533633
0.3628225645129026,0_real,0.4298669469012335
0.3626725345069014,0_real,0.4296086939454194
0.3625225045009002,0_real,0.42935060791029805
0.36237247449489896,0_real,0.4290926884791576
0.36222244448889773,0_real,0.42883493533618466
0.3620724144828966,0_real,0.42857734816645676
0.3619223844768954,0_real,0.4283199266559325
0.3617723544708942,0_real,0.42806267049145363
0.36162232446489295,0_real,0.4278055793607422
0.36147229445889173,0_real,0.4275486529523934
0.3613222644528906,0_real,0.42729189095588155
0.3611722344468894,0_real,0.4270352930615397
0.3610222044408882,0_real,0.42677885896057194
0.36087217443488695,0_real,0.42652258834504336
0.3607221444288857,0_real,0.42626648090787744
0.3605721144228846,0_real,0.42601053634284963
0.3604220844168834,0_real,0.4257547543445944
0.36027205441088217,0_real,0.42549913460858885
0.36012202440488095,0_real,0.42524367683115993
0.3599719943988797,0_real,0.4249883807094695
0.3598219643928786,0_real,0.4247332459415261
0.3596719343868774,0_real,0.4244782722261701
0.35952190438087617,0_real,0.4242234592630739
0.35937187437487494,0_real,0.4239688067527454
0.3592218443688737,0_real,0.4237143143965095
0.3590718143628726,0_real,0.4234599818965187
0.3589217843568714,0_real,0.42320580895574694
0.35877175435087016,0_real,0.4229517952779803
0.35862172434486894,0_real,0.42269794056782034
0.3584716943388677,0_real,0.42244424453068247
0.3583216643328666,0_real,0.42219070687278426
0.3581716343268654,0_real,0.4219373273011515
0.35802160432086416,0_real,0.42168410552360835
0.35787157431486294,0_real,0.42143104124877995
0.3577215443088617,0_real,0.42117813418608235
0.3575715143028606,0_real,0.4209253840457296
0.3574214842968594,0_real,0.4206727905387229
0.35727145429085816,0_real,0.42042035337684536
0.35712142428485694,0_real,0.4201680722726689
0.3569713942788558,0_real,0.41991594693954476
0.3568213642728546,0_real,0.4196639770915971
0.3566713342668534,0_real,0.4194121624437308
0.35652130426085216,0_real,0.4191605027116168
0.35637127425485093,0_real,0.4189089976117012
0.3562212442488498,0_real,0.41865764686118734
0.3560712142428486,0_real,0.418406450178047
0.3559211842368474,0_real,0.4181554072810138
0.35577115423084615,0_real,0.41790451788957206
0.35562112422484493,0_real,0.41765378172396517
0.3554710942188438,0_real,0.4174031985051885
0.3553210642128426,0_real,0.417152767954983
0.3551710342068414,0_real,0.4169024897958381
0.35502100420084015,0_real,0.4166523637509866
0.35487097419483893,0_real,0.4164023895443954
0.3547209441888378,0_real,0.416152566900781
0.3545709141828366,0_real,0.41590289554558185
0.35442088417683537,0_real,0.41565337520498347
0.35427085417083415,0_real,0.4154040056058835
0.3541208241648329,0_real,0.41515478647592224
0.3539707941588318,0_real,0.41490571754345307
0.3538207641528306,0_real,0.414656798537551
0.35367073414682937,0_real,0.41440802918802117
0.35352070414082815,0_real,0.41415940922537775
0.3533706741348269,0_real,0.4139109383808419
0.3532206441288258,0_real,0.41366261638635593
0.3530706141228246,0_real,0.41341444297456437
0.35292058411682337,0_real,0.4131664178788188
0.35277055411082214,0_real,0.4129185408331802
0.3526205241048209,0_real,0.4126708115723999
0.3524704940988198,0_real,0.41242322983192786
0.3523204640928186,0_real,0.4121757953479202
0.35217043408681736,0_real,0.4119285078572164
0.35202040408081614,0_real,0.4116813670973483
0.3518703740748149,0_real,0.41143437280653705
0.3517203440688138,0_real,0.4111875247236883
0.3515703140628126,0_real,0.4109408225883894
0.35142028405681136,0_real,0.41069426614091037
0.35127025405081014,0_real,0.4104478551221986
0.3511202240448089,0_real,0.410201589273875
0.3509701940388078,0_real,0.4099554683382333
0.3508201640328066,0_real,0.4097094920582414
0.35067013402680536,0_real,0.4094636601775333
0.35052010402080414,0_real,0.40921797244040714
0.3503700740148029,0_real,0.4089724285918272
0.3502200440088018,0_real,0.40872702837741803
0.3500700140028006,0_real,0.4084817715434566
0.34991998399679936,0_real,0.40823665783688945
0.34976995399079813,0_real,0.40799168700530314
0.3496199239847969,0_real,0.4077468587969423
0.3494698939787958,0_real,0.40750217296070557
0.3493198639727946,0_real,0.4072576292461271
0.34916983396679335,0_real,0.40701322740339246
0.34901980396079213,0_real,0.40676896718332717
0.3488697739547909,0_real,0.40652484833739877
0.3487197439487898,0_real,0.4062808706177122
0.3485697139427886,0_real,0.40603703377700767
0.34841968393678735,0_real,0.40579333756865915
0.3482696539307861,0_real,0.40554978174666234
0.3481196239247849,0_real,0.4053063660656563
0.3479695939187838,0_real,0.40506309028089876
