m1,variable,value
1.0,0_real,2.9691849478120664
1.0037537537537538,0_real,2.9689467103420197
1.0075075075075075,0_real,2.968707478768968
1.0112612612612613,0_real,2.9684672518470316
1.015015015015015,0_real,2.9682260283235298
1.0187687687687688,0_real,2.9679838069389
1.0225225225225225,0_real,2.9677405864267
1.0262762762762763,0_real,2.967496365513534
1.03003003003003,0_real,2.967251142919091
1.0337837837837838,0_real,2.96700491735605
1.0375375375375375,0_real,2.966757687530082
1.0412912912912913,0_real,2.966509452139805
1.045045045045045,0_real,2.966260209876772
1.0487987987987988,0_real,2.9660099594254214
1.0525525525525525,0_real,2.9657586994630396
1.0563063063063063,0_real,2.965506428659756
1.06006006006006,0_real,2.9652531456784823
1.0638138138138138,0_real,2.9649988491749104
1.0675675675675675,0_real,2.964743537797445
1.0713213213213213,0_real,2.9644872101871913
1.075075075075075,0_real,2.9642298649779217
1.0788288288288288,0_real,2.9639715007960357
1.0825825825825826,0_real,2.9637121162605364
1.0863363363363363,0_real,2.9634517099829756
1.09009009009009,0_real,2.963190280567452
1.0938438438438438,0_real,2.9629278266105485
1.0975975975975976,0_real,2.9626643467013087
1.1013513513513513,0_real,2.9623998394211988
1.105105105105105,0_real,2.9621343033440697
1.1088588588588588,0_real,2.961867737036145
1.1126126126126126,0_real,2.9616001390559354
1.1163663663663663,0_real,2.9613315079542772
1.12012012012012,0_real,2.9610618422742068
1.1238738738738738,0_real,2.960791140550998
1.1276276276276276,0_real,2.9605194013120837
1.1313813813813813,0_real,2.9602466230770412
1.135135135135135,0_real,2.9599728043575366
1.1388888888888888,0_real,2.959697943657307
1.1426426426426426,0_real,2.9594220394720923
1.1463963963963963,0_real,2.9591450902896455
1.15015015015015,0_real,2.9588670945896283
1.1539039039039038,0_real,2.958588050843643
1.1576576576576576,0_real,2.9583079575151325
1.1614114114114114,0_real,2.9580268130593916
1.165165165165165,0_real,2.9577446159234757
1.1689189189189189,0_real,2.9574613645462007
1.1726726726726726,0_real,2.957177057358094
1.1764264264264264,0_real,2.9568916927813476
1.1801801801801801,0_real,2.9566052692297786
1.1839339339339339,0_real,2.9563177851087765
1.1876876876876876,0_real,2.9560292388152876
1.1914414414414414,0_real,2.955739628737759
1.1951951951951951,0_real,2.9554489532560817
1.1989489489489489,0_real,2.9551572107415724
1.2027027027027026,0_real,2.9548643995569197
1.2064564564564564,0_real,2.9545705180561495
1.2102102102102101,0_real,2.9542755645845498
1.2139639639639639,0_real,2.953979537478677
1.2177177177177176,0_real,2.9536824350662583
1.2214714714714714,0_real,2.953384255666206
1.2252252252252251,0_real,2.9530849975885056
1.228978978978979,0_real,2.952784659134217
1.2327327327327327,0_real,2.9524832385954403
1.2364864864864864,0_real,2.952180734255207
1.2402402402402402,0_real,2.951877144387515
1.243993993993994,0_real,2.9515724672571784
1.2477477477477477,0_real,2.9512667011199154
1.2515015015015014,0_real,2.950959844222176
1.2552552552552552,0_real,2.950651894801151
1.259009009009009,0_real,2.950342851084735
1.2627627627627627,0_real,2.9500327112914526
1.2665165165165164,0_real,2.94972147363041
1.2702702702702702,0_real,2.9494091363012664
1.274024024024024,0_real,2.949095697494146
1.2777777777777777,0_real,2.948781155389643
1.2815315315315314,0_real,2.9484655081587263
1.2852852852852852,0_real,2.9481487539626903
1.289039039039039,0_real,2.947830890953135
1.2927927927927927,0_real,2.947511917271888
1.2965465465465464,0_real,2.9471918310509544
1.3003003003003002,0_real,2.94687063041248
1.304054054054054,0_real,2.946548313468665
1.3078078078078077,0_real,2.946224878321769
1.3115615615615615,0_real,2.9459003230639818
1.3153153153153152,0_real,2.9455746457774294
1.319069069069069,0_real,2.9452478445341033
1.3228228228228227,0_real,2.944919917395775
1.3265765765765765,0_real,2.9445908624139934
1.3303303303303302,0_real,2.9442606776299867
1.334084084084084,0_real,2.9439293610746153
1.3378378378378377,0_real,2.9435969107683357
1.3415915915915915,0_real,2.9432633247210997
1.3453453453453452,0_real,2.9429286009323548
1.349099099099099,0_real,2.942592737390936
1.3528528528528527,0_real,2.942255732075015
1.3566066066066065,0_real,2.9419175829520787
1.3603603603603602,0_real,2.9415782879788344
1.364114114114114,0_real,2.9412378451011367
1.3678678678678677,0_real,2.9408962522539595
1.3716216216216215,0_real,2.9405535073613374
1.3753753753753752,0_real,2.940209608336265
1.379129129129129,0_real,2.939864553080671
1.3828828828828827,0_real,2.9395183394853435
1.3866366366366365,0_real,2.939170965429854
1.3903903903903903,0_real,2.938822428782524
1.394144144144144,0_real,2.938472727400331
1.3978978978978978,0_real,2.938121859128861
1.4016516516516517,0_real,2.9377698218022257
1.4054054054054055,0_real,2.937416613243017
1.4091591591591592,0_real,2.9370622312622308
1.412912912912913,0_real,2.9367066736592013
1.4166666666666667,0_real,2.9363499382215394
1.4204204204204205,0_real,2.935992022725028
1.4241741741741742,0_real,2.9356329249336266
1.427927927927928,0_real,2.9352726425993323
1.4316816816816818,0_real,2.934911173462127
1.4354354354354355,0_real,2.9345485152499453
1.4391891891891893,0_real,2.9341846656785586
1.442942942942943,0_real,2.9338196224515203
1.4466966966966968,0_real,2.9334533832600966
1.4504504504504505,0_real,2.9330859457831746
1.4542042042042043,0_real,2.9327173076872324
1.457957957957958,0_real,2.9323474666262097
1.4617117117117118,0_real,2.9319764202414733
1.4654654654654655,0_real,2.9316041661617316
1.4692192192192193,0_real,2.93123070200295
1.472972972972973,0_real,2.9308560253682865
1.4767267267267268,0_real,2.9304801338479987
1.4804804804804805,0_real,2.9301030250193794
1.4842342342342343,0_real,2.929724696446671
1.487987987987988,0_real,2.9293451456810082
1.4917417417417418,0_real,2.9289643702602994
1.4954954954954955,0_real,2.92858236770918
1.4992492492492493,0_real,2.928199135538895
1.503003003003003,0_real,2.92781467124727
1.5067567567567568,0_real,2.9274289723185802
1.5105105105105106,0_real,2.927042036223492
1.5142642642642643,0_real,2.9266538604189627
1.518018018018018,0_real,2.926264442348181
1.5217717717717718,0_real,2.9258737794404457
1.5255255255255256,0_real,2.9254818691111257
1.5292792792792793,0_real,2.9250887087615203
1.533033033033033,0_real,2.9246942957788225
