0,1,2,3,4,5,time,classifier,pseudotime_index,pseudotime
0.6101631,0.057750527,0.082408585,0.042482026,0.047965553,0.15923026,1,c1,1,0.33379212
0.61684453,0.05392049,0.06243827,0.039288774,0.05246842,0.17503957,3,c1,3,0.36385068
0.57294905,0.06731519,0.05127731,0.05163982,0.055947796,0.20087084,5,c1,5,0.38257623
0.53671986,0.08802219,0.045767486,0.070952125,0.06903262,0.18950577,7,c1,7,0.39932215
0.55043685,0.047904372,0.03068574,0.038792074,0.05986127,0.27231967,9,c1,9,0.40907484
0.4644826,0.03474684,0.022149583,0.029804919,0.03981614,0.40899995,11,c1,11,0.4179559
0.4652793,0.06302675,0.025097363,0.05561015,0.049237285,0.3417492,13,c1,13,0.42743686
0.43412834,0.0586486,0.024365203,0.053426713,0.034504056,0.3949271,15,c1,15,0.43130544
0.39406905,0.06361737,0.022402132,0.05921563,0.029011443,0.43168446,17,c1,17,0.44602007
0.34915513,0.0710459,0.019315712,0.06663084,0.022808326,0.47104412,19,c1,19,0.45465595
0.33313203,0.07670898,0.019348916,0.07384504,0.021209547,0.47575548,21,c1,21,0.47799823
0.3211703,0.10809302,0.022895614,0.10574336,0.021760145,0.42033756,23,c1,23,0.49376398
0.32191944,0.11989057,0.027408674,0.121354654,0.021675844,0.38775077,25,c1,25,0.50393045
0.3169395,0.15097184,0.031601764,0.1556463,0.02706325,0.3177773,27,c1,27,0.5226173
0.30853572,0.14190935,0.031041456,0.14746441,0.024309043,0.3467401,29,c1,29,0.5275566
0.30679822,0.15174109,0.04900406,0.1681563,0.026339544,0.29796073,31,c1,31,0.5362405
0.28334886,0.18907526,0.07570371,0.21557756,0.030199688,0.20609498,33,c1,33,0.54746187
0.24020503,0.2136654,0.087650076,0.25612742,0.02658967,0.17576244,35,c1,35,0.56884885
0.22556682,0.21416287,0.09638034,0.2670912,0.026429048,0.17036971,37,c1,37,0.5749665
0.21295002,0.21890391,0.09266518,0.27872896,0.026233064,0.17051888,39,c1,39,0.58516747
0.21128029,0.22042762,0.091668814,0.28094193,0.028189931,0.1674914,41,c1,41,0.5957076
0.21331243,0.21820228,0.09182466,0.27528512,0.029229818,0.17214572,43,c1,43,0.6013746
0.21301413,0.22035979,0.09502383,0.2753477,0.030824808,0.16542979,45,c1,45,0.6182356
0.21436022,0.21858934,0.09063769,0.2728723,0.030821223,0.17271926,47,c1,47,0.6256511
0.21537009,0.2023984,0.0925166,0.26241034,0.028944418,0.19836013,49,c1,49,0.62892306
0.22158544,0.17078388,0.08951342,0.22663398,0.025332509,0.26615077,51,c1,51,0.63572353
0.22190692,0.18735601,0.08145636,0.2402373,0.026292892,0.24275054,53,c1,53,0.63723415
0.21912245,0.2177601,0.06626441,0.27327594,0.03830474,0.18527235,55,c1,55,0.64094335
0.2178065,0.22152303,0.05761322,0.28366295,0.04860763,0.17078662,57,c1,57,0.64444077
0.2079122,0.23431472,0.05098927,0.30336788,0.050511725,0.15290421,59,c1,59,0.6473318
0.20498206,0.24192308,0.047386937,0.3102921,0.051477596,0.14393826,61,c1,61,0.64887655
0.2010862,0.24721536,0.049638744,0.31928387,0.048832484,0.13394342,63,c1,63,0.650911
0.20305638,0.24263392,0.047521677,0.3158028,0.058987048,0.1319982,65,c1,65,0.6527983
0.20040193,0.23286037,0.045261044,0.30804148,0.05375014,0.15968506,67,c1,67,0.6544877
0.21500924,0.20226921,0.04064017,0.25766915,0.044919398,0.23949279,69,c1,69,0.6558261
0.19902098,0.23452203,0.04303943,0.31262714,0.063637964,0.14715245,71,c1,71,0.6581294
0.2034138,0.23992944,0.04223204,0.31426015,0.07660423,0.12356032,73,c1,73,0.66010594
0.205528,0.24171892,0.042548276,0.31225166,0.07889896,0.119054265,75,c1,75,0.6610741
0.20768169,0.2378229,0.042008407,0.30857968,0.09064606,0.11326121,77,c1,77,0.66455066
0.21463837,0.22626941,0.040029213,0.28870106,0.11766408,0.11269793,79,c1,79,0.6687522
0.21285559,0.22902398,0.043462005,0.29419076,0.114368476,0.10609927,81,c1,81,0.6723641
0.21096934,0.23098364,0.044858094,0.29484528,0.111141376,0.1072022,83,c1,83,0.6725976
0.21127166,0.23018427,0.04590638,0.2929051,0.105491884,0.11424071,85,c1,85,0.6739024
